scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,16,183.625,152.5,83.49541529329619,82.0,113.5,298.0,298.0,298.0,298.0
probe_all,16,81.0,81.0,0.0,81.0,81.0,81.0,81.0,81.0,81.0
search_all,16,102.625,71.5,83.49541529329619,1.0,32.5,217.0,217.0,217.0,217.0
total_success,11,131.63636363636363,133.0,38.61764252319899,82.0,98.5,152.5,178.0,191.5,205.0
total_failure,5,298.0,298.0,0.0,298.0,298.0,298.0,298.0,298.0,298.0
search_success,11,50.63636363636363,52.0,38.61764252319899,1.0,17.5,71.5,97.0,110.5,124.0
search_failure,5,217.0,217.0,0.0,217.0,217.0,217.0,217.0,217.0,217.0
