scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,50.375,59.0,29.11373172576817,3.0,14.0,67.0,83.0,89.79999999999995,99.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,48.375,57.0,29.11373172576817,1.0,12.0,65.0,81.0,87.79999999999995,97.0
total_success,18,7.444444444444445,7.0,3.4995590551163605,3.0,7.0,7.0,12.200000000000003,15.0,15.0
total_failure,46,67.17391304347827,63.0,13.080527093199144,51.0,59.0,75.0,83.0,91.0,99.0
search_success,18,5.444444444444445,5.0,3.4995590551163605,1.0,5.0,5.0,10.200000000000003,13.0,13.0
search_failure,46,65.17391304347827,61.0,13.080527093199144,49.0,57.0,73.0,81.0,89.0,97.0
