scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,128,180.9375,174.0,69.54278696421362,66.0,133.5,237.0,282.0,282.0,282.0
probe_all,128,65.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,65.0
search_all,128,115.9375,109.0,69.54278696421362,1.0,68.5,172.0,217.0,217.0,217.0
total_success,101,159.0891089108911,153.0,58.86872440496181,66.0,117.0,198.0,237.0,261.0,279.0
total_failure,27,262.6666666666667,282.0,38.70687564531942,147.0,282.0,282.0,282.0,282.0,282.0
search_success,101,94.08910891089108,88.0,58.86872440496181,1.0,52.0,133.0,172.0,196.0,214.0
search_failure,27,197.66666666666666,217.0,38.70687564531943,82.0,217.0,217.0,217.0,217.0,217.0
