scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,128,35.8515625,31.5,21.8374999441006,14.0,14.0,54.0,64.6,74.0,74.0
probe_all,128,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,128,22.8515625,18.5,21.8374999441006,1.0,1.0,41.0,51.599999999999994,61.0,61.0
total_success,87,24.482758620689655,14.0,16.250101374725705,14.0,14.0,36.5,54.0,56.0,66.0
total_failure,41,59.97560975609756,54.0,8.498171409846023,54.0,54.0,69.0,74.0,74.0,74.0
search_success,87,11.482758620689655,1.0,16.250101374725705,1.0,1.0,23.5,41.0,43.0,53.0
search_failure,41,46.97560975609756,41.0,8.498171409846023,41.0,41.0,56.0,61.0,61.0,61.0
