scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,123.234375,87.0,100.21106509941592,3.0,27.0,243.0,243.0,243.0,243.0
probe_all,256,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,256,121.234375,85.0,100.21106509941592,1.0,25.0,241.0,241.0,241.0,241.0
total_success,167,59.550898203592816,39.0,61.0344615213832,3.0,15.0,87.0,163.80000000000007,207.0,243.0
total_failure,89,242.73033707865167,243.0,2.5296624322643217,219.0,243.0,243.0,243.0,243.0,243.0
search_success,167,57.550898203592816,37.0,61.0344615213832,1.0,13.0,85.0,161.80000000000007,205.0,241.0
search_failure,89,240.73033707865167,241.0,2.5296624322643217,217.0,241.0,241.0,241.0,241.0,241.0
