budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,0,0.0,0,0.0,0.0
40,1,0.390625,1,0.390625,100.0
50,1,0.390625,1,0.390625,100.0
60,13,5.078125,13,5.078125,100.0
75,13,5.078125,13,5.078125,100.0
100,256,100.0,24,9.375,9.375
150,256,100.0,24,9.375,9.375
200,256,100.0,24,9.375,9.375
