budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,1380,80.3727431566686,1380,80.3727431566686,100.0
40,1500,87.361677344205,1500,87.361677344205,100.0
50,1541,89.74956319161328,1541,89.74956319161328,100.0
60,1593,92.77810133954571,1593,92.77810133954571,100.0
75,1622,94.46709376820034,1622,94.46709376820034,100.0
100,1651,96.15608619685499,1647,95.9231217239371,99.75772259236827
150,1706,99.35934769947583,1667,97.0879440885265,97.71395076201641
200,1717,100.0,1672,97.37914967967384,97.37914967967384
