scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,1717,21.842166569598135,19.0,27.60181794022516,3.0,3.0,19.0,51.0,83.0,195.0
probe_all,1717,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,1717,19.842166569598135,17.0,27.60181794022516,1.0,1.0,17.0,49.0,81.0,193.0
total_success,1672,19.0622009569378,11.0,21.70784606546033,3.0,3.0,19.0,43.0,59.0,171.0
total_failure,45,125.13333333333334,115.0,24.579666393179547,99.0,107.0,131.0,163.0,190.19999999999993,195.0
search_success,1672,17.0622009569378,9.0,21.70784606546033,1.0,1.0,17.0,41.0,57.0,169.0
search_failure,45,123.13333333333334,113.0,24.579666393179547,97.0,105.0,129.0,161.0,188.19999999999993,193.0
