scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,177.625,77.0,178.43096529190217,3.0,21.0,243.0,483.0,483.0,483.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,175.625,75.0,178.43096529190217,1.0,19.0,241.0,481.0,481.0,481.0
total_success,35,34.31428571428572,23.0,32.991575919204784,3.0,7.0,59.0,71.0,90.19999999999993,143.0
total_failure,29,350.58620689655174,243.0,119.35618015329068,243.0,243.0,483.0,483.0,483.0,483.0
search_success,35,32.31428571428572,21.0,32.991575919204784,1.0,5.0,57.0,69.0,88.19999999999993,141.0
search_failure,29,348.58620689655174,241.0,119.35618015329068,241.0,241.0,481.0,481.0,481.0,481.0
