scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,16,140.25,94.5,83.93635982099772,66.0,78.75,183.0,282.0,282.0,282.0
probe_all,16,65.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,65.0
search_all,16,75.25,29.5,83.93635982099772,1.0,13.75,118.0,217.0,217.0,217.0
total_success,12,93.75,85.5,27.19719654670312,66.0,72.0,103.5,135.9,144.75,153.0
total_failure,4,279.75,282.0,3.897114317029974,273.0,279.75,282.0,282.0,282.0,282.0
search_success,12,28.75,20.5,27.19719654670312,1.0,7.0,38.5,70.9,79.74999999999999,88.0
search_failure,4,214.75,217.0,3.897114317029974,208.0,214.75,217.0,217.0,217.0,217.0
