scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,248.859375,207.0,195.91510974044186,3.0,48.0,483.0,483.0,483.0,483.0
probe_all,256,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,256,246.859375,205.0,195.91510974044186,1.0,46.0,481.0,481.0,481.0,481.0
total_success,171,136.05263157894737,87.0,136.04854926177157,3.0,15.0,207.0,363.0,417.0,483.0
total_failure,85,475.8,483.0,35.511986377427384,219.0,483.0,483.0,483.0,483.0,483.0
search_success,171,134.05263157894737,85.0,136.04854926177157,1.0,13.0,205.0,361.0,415.0,481.0
search_failure,85,473.8,481.0,35.511986377427384,217.0,481.0,481.0,481.0,481.0,481.0
