scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,128,39.9296875,26.5,24.742796803359635,18.0,18.0,58.0,80.0,88.0,88.0
probe_all,128,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0
search_all,128,22.9296875,9.5,24.742796803359635,1.0,1.0,41.0,63.0,71.0,71.0
total_success,103,31.660194174757283,18.0,19.182087820833782,18.0,18.0,48.0,61.999999999999986,69.79999999999998,85.0
total_failure,25,74.0,73.0,13.2664991614216,58.0,58.0,88.0,88.0,88.0,88.0
search_success,103,14.660194174757281,1.0,19.18208782083378,1.0,1.0,31.0,44.999999999999986,52.79999999999998,68.0
search_failure,25,57.0,56.0,13.2664991614216,41.0,41.0,71.0,71.0,71.0,71.0
