budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,0,0.0,0,0.0,0.0
40,0,0.0,0,0.0,0.0
50,0,0.0,0,0.0,0.0
60,0,0.0,0,0.0,0.0
75,6,9.375,6,9.375,100.0
100,8,12.5,8,12.5,100.0
150,24,37.5,24,37.5,100.0
200,33,51.5625,33,51.5625,100.0
