budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,811,45.18105849582173,811,45.18105849582173,100.0
40,1163,64.79108635097494,1163,64.79108635097494,100.0
50,1259,70.13927576601671,1259,70.13927576601671,100.0
60,1382,76.991643454039,1382,76.991643454039,100.0
75,1469,81.83844011142061,1469,81.83844011142061,100.0
100,1508,84.01114206128133,1508,84.01114206128133,100.0
150,1548,86.23955431754875,1548,86.23955431754875,100.0
200,1574,87.68802228412257,1574,87.68802228412257,100.0
