scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,25.578125,15.0,25.407494396031556,3.0,7.0,51.0,67.0,75.0,99.0
probe_all,256,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,256,23.578125,13.0,25.407494396031556,1.0,5.0,49.0,65.0,73.0,97.0
total_success,191,12.612565445026178,11.0,11.111837431983375,3.0,3.0,17.0,27.0,31.0,67.0
total_failure,65,63.676923076923075,59.0,15.30118918687513,51.0,51.0,75.0,87.80000000000001,99.0,99.0
search_success,191,10.612565445026178,9.0,11.111837431983375,1.0,1.0,15.0,25.0,29.0,65.0
search_failure,65,61.676923076923075,57.0,15.30118918687513,49.0,49.0,73.0,85.80000000000001,97.0,97.0
