scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,365.1875,483.0,168.7571179054383,3.0,243.0,483.0,483.0,483.0,483.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,363.1875,481.0,168.7571179054383,1.0,241.0,481.0,481.0,481.0,481.0
total_success,10,41.0,35.0,29.189039038652847,3.0,20.0,53.0,87.8,91.39999999999999,95.0
total_failure,54,425.22222222222223,483.0,102.60796782769064,243.0,483.0,483.0,483.0,483.0,483.0
search_success,10,39.0,33.0,29.189039038652847,1.0,18.0,51.0,85.8,89.39999999999999,93.0
search_failure,54,423.22222222222223,481.0,102.60796782769064,241.0,481.0,481.0,481.0,481.0,481.0
