scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,128,34.296875,29.0,21.989826971451482,14.0,14.0,54.0,69.0,74.0,74.0
probe_all,128,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,128,21.296875,16.0,21.989826971451482,1.0,1.0,41.0,56.0,61.0,61.0
total_success,103,26.990291262135923,14.0,17.56955395360845,14.0,14.0,39.0,55.599999999999994,59.0,74.0
total_failure,25,64.4,64.0,8.82269800004511,54.0,54.0,74.0,74.0,74.0,74.0
search_success,103,13.990291262135923,1.0,17.56955395360845,1.0,1.0,26.0,42.599999999999994,46.0,61.0
search_failure,25,51.4,51.0,8.822698000045111,41.0,41.0,61.0,61.0,61.0,61.0
