scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,93.75,41.0,100.09714031879233,3.0,11.0,243.0,243.0,243.0,243.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,91.75,39.0,100.09714031879233,1.0,9.0,241.0,241.0,241.0,241.0
total_success,46,35.34782608695652,15.0,42.57638526496377,3.0,3.0,56.0,99.0,126.0,171.0
total_failure,18,243.0,243.0,0.0,243.0,243.0,243.0,243.0,243.0,243.0
search_success,46,33.34782608695652,13.0,42.57638526496377,1.0,1.0,54.0,97.0,124.0,169.0
search_failure,18,241.0,241.0,0.0,241.0,241.0,241.0,241.0,241.0,241.0
