budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,990,55.15320334261838,990,55.15320334261838,100.0
40,1122,62.50696378830084,1122,62.50696378830084,100.0
50,1163,64.79108635097494,1163,64.79108635097494,100.0
60,1247,69.4707520891365,1247,69.4707520891365,100.0
75,1351,75.26462395543176,1351,75.26462395543176,100.0
100,1441,80.27855153203343,1441,80.27855153203343,100.0
150,1531,85.29247910863509,1531,85.29247910863509,100.0
200,1583,88.18941504178272,1583,88.18941504178272,100.0
