scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,32,49.3125,40.5,36.59272255175884,14.0,14.0,78.25,101.60000000000001,110.35,112.0
probe_all,32,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,32,36.3125,27.5,36.59272255175884,1.0,1.0,65.25,88.60000000000001,97.35,99.0
total_success,26,38.34615384615385,14.0,30.981312366914533,14.0,14.0,63.0,86.0,101.0,109.0
total_failure,6,96.83333333333333,98.0,14.24098155168932,70.0,92.75,108.5,112.0,112.0,112.0
search_success,26,25.346153846153847,1.0,30.981312366914533,1.0,1.0,50.0,73.0,88.0,96.0
search_failure,6,83.83333333333333,85.0,14.24098155168932,57.0,79.75,95.5,99.0,99.0,99.0
