scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,25.75,11.0,25.068655727820747,3.0,3.0,51.0,59.0,67.0,91.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,23.75,9.0,25.068655727820747,1.0,1.0,49.0,57.0,65.0,89.0
total_success,45,11.177777777777777,7.0,11.499350491588428,3.0,3.0,11.0,25.400000000000006,38.19999999999999,51.0
total_failure,19,60.26315789473684,59.0,10.467202437605096,51.0,51.0,63.0,75.0,76.59999999999997,91.0
search_success,45,9.177777777777777,5.0,11.499350491588428,1.0,1.0,9.0,23.400000000000006,36.19999999999999,49.0
search_failure,19,58.26315789473684,57.0,10.467202437605096,49.0,49.0,61.0,73.0,74.59999999999997,89.0
