budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,1506,87.71112405358183,1506,87.71112405358183,100.0
40,1639,95.45719277810134,1639,95.45719277810134,100.0
50,1665,96.97146185206756,1665,96.97146185206756,100.0
60,1700,99.00990099009901,1676,97.61211415259173,98.58823529411765
75,1717,100.0,1686,98.19452533488644,98.19452533488644
100,1717,100.0,1686,98.19452533488644,98.19452533488644
150,1717,100.0,1686,98.19452533488644,98.19452533488644
200,1717,100.0,1686,98.19452533488644,98.19452533488644
