system_id,query_cap,cap_label,success_rate,finished_rate,query_cap_reached_rate,mode
14,25,25,80.3727431566686,80.3727431566686,19.627256843331395,capped
14,40,40,87.361677344205,87.361677344205,12.638322655794994,capped
14,50,50,89.74956319161328,89.74956319161328,10.250436808386723,capped
14,60,60,92.77810133954571,92.77810133954571,7.221898660454286,capped
14,75,75,94.46709376820034,94.46709376820034,5.532906231799657,capped
14,100,100,95.9231217239371,96.156086196855,3.843913803145,capped
14,150,150,97.0879440885265,99.35934769947583,0.6406523005241667,capped
14,200,200,97.37914967967384,100.0,0.0,capped
14,225,uncapped,97.3791480064392,100.0,0.0,uncapped
118,25,25,69.52646239554318,69.52646239554318,30.473537604456823,capped
118,40,40,79.88857938718662,79.88857938718662,20.111420612813376,capped
118,50,50,80.0,80.0,20.0,capped
118,60,60,80.61281337047353,80.61281337047353,19.387186629526468,capped
118,75,75,81.44846796657382,81.44846796657382,18.551532033426184,capped
118,100,100,82.89693593314763,82.89693593314763,17.10306406685237,capped
118,150,150,84.9025069637883,84.9025069637883,15.097493036211702,capped
118,200,200,86.68523676880223,86.68523676880223,13.314763231197773,capped
118,225,uncapped,88.24512362480164,100.0,0.0,uncapped
