scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,128,51.8125,49.0,38.219912594745686,14.0,14.0,81.75,112.0,112.0,112.0
probe_all,128,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,128,38.8125,36.0,38.219912594745686,1.0,1.0,68.75,99.0,99.0,99.0
total_success,86,32.348837209302324,14.0,29.07718975011507,14.0,14.0,49.0,79.0,95.0,109.0
total_failure,42,91.66666666666667,91.0,18.882678717691398,70.0,70.0,112.0,112.0,112.0,112.0
search_success,86,19.348837209302324,1.0,29.07718975011507,1.0,1.0,36.0,66.0,82.0,96.0
search_failure,42,78.66666666666667,78.0,18.882678717691398,57.0,57.0,99.0,99.0,99.0,99.0
