scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,32,41.8125,38.0,25.371536093622712,18.0,18.0,58.0,86.50000000000003,88.0,88.0
probe_all,32,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0
search_all,32,24.8125,21.0,25.371536093622712,1.0,1.0,41.0,69.50000000000003,71.0,71.0
total_success,22,28.09090909090909,18.0,15.744866669688918,18.0,18.0,40.5,54.800000000000004,57.849999999999994,63.0
total_failure,10,72.0,68.0,13.74772708486752,58.0,58.0,88.0,88.0,88.0,88.0
search_success,22,11.090909090909092,1.0,15.744866669688918,1.0,1.0,23.5,37.800000000000004,40.849999999999994,46.0
search_failure,10,55.0,51.0,13.74772708486752,41.0,41.0,71.0,71.0,71.0,71.0
