scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,16,164.25,142.5,83.77536929193448,66.0,92.25,241.5,282.0,282.0,282.0
probe_all,16,65.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,65.0
search_all,16,99.25,77.5,83.77536929193448,1.0,27.25,176.5,217.0,217.0,217.0
total_success,12,125.0,108.0,56.52875374532858,66.0,72.0,175.5,212.4,221.39999999999998,228.0
total_failure,4,282.0,282.0,0.0,282.0,282.0,282.0,282.0,282.0,282.0
search_success,12,60.0,43.0,56.52875374532858,1.0,7.0,110.5,147.4,156.39999999999998,163.0
search_failure,4,217.0,217.0,0.0,217.0,217.0,217.0,217.0,217.0,217.0
