scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,32,31.8125,14.0,22.463077343721185,14.0,14.0,54.0,72.50000000000003,74.0,74.0
probe_all,32,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,32,18.8125,1.0,22.463077343721185,1.0,1.0,41.0,59.50000000000003,61.0,61.0
total_success,24,20.875,14.0,12.813770262234817,14.0,14.0,17.75,39.0,51.74999999999997,54.0
total_failure,8,64.625,66.5,9.499177595981665,54.0,54.0,74.0,74.0,74.0,74.0
search_success,24,7.875,1.0,12.813770262234817,1.0,1.0,4.75,26.0,38.74999999999997,41.0
search_failure,8,51.625,53.5,9.499177595981665,41.0,41.0,61.0,61.0,61.0,61.0
