scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,31.6875,15.0,30.071204561008194,3.0,7.0,51.0,80.60000000000002,83.0,99.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,29.6875,13.0,30.071204561008194,1.0,5.0,49.0,78.60000000000002,81.0,97.0
total_success,40,10.5,7.0,9.641058033224361,3.0,3.0,11.0,19.400000000000006,31.599999999999966,43.0
total_failure,24,67.0,63.0,16.165807537309522,51.0,51.0,83.0,88.6,97.79999999999998,99.0
search_success,40,8.5,5.0,9.641058033224361,1.0,1.0,9.0,17.400000000000006,29.599999999999966,41.0
search_failure,24,65.0,61.0,16.165807537309522,49.0,49.0,81.0,86.6,95.79999999999998,97.0
