scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,178.51171875,174.0,71.88027059055148,66.0,120.0,243.0,282.0,282.0,282.0
probe_all,256,65.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,65.0
search_all,256,113.51171875,109.0,71.88027059055148,1.0,55.0,178.0,217.0,217.0,217.0
total_success,196,153.0765306122449,153.0,59.249466201023345,66.0,108.0,192.0,234.0,261.0,279.0
total_failure,60,261.6,282.0,39.49987341751871,138.0,268.5,282.0,282.0,282.0,282.0
search_success,196,88.0765306122449,88.0,59.24946620102335,1.0,43.0,127.0,169.0,196.0,214.0
search_failure,60,196.6,217.0,39.49987341751872,73.0,203.5,217.0,217.0,217.0,217.0
