budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,0,0.0,0,0.0,0.0
40,0,0.0,0,0.0,0.0
50,0,0.0,0,0.0,0.0
60,0,0.0,0,0.0,0.0
75,34,13.28125,34,13.28125,100.0
100,44,17.1875,44,17.1875,100.0
150,95,37.109375,92,35.9375,96.84210526315789
200,161,62.890625,155,60.546875,96.27329192546584
