budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,1248,69.52646239554318,1248,69.52646239554318,100.0
40,1434,79.88857938718662,1434,79.88857938718662,100.0
50,1436,80.0,1436,80.0,100.0
60,1447,80.61281337047353,1447,80.61281337047353,100.0
75,1462,81.44846796657382,1462,81.44846796657382,100.0
100,1488,82.89693593314763,1488,82.89693593314763,100.0
150,1524,84.9025069637883,1524,84.9025069637883,100.0
200,1556,86.68523676880223,1556,86.68523676880223,100.0
