scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,1795,59.9949860724234,7.0,111.97596975315098,3.0,5.0,27.0,287.0,367.0,367.0
probe_all,1795,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,1795,57.9949860724234,5.0,111.97596975315098,1.0,3.0,25.0,285.0,365.0,365.0
total_success,1584,22.241161616161616,7.0,43.15139454497271,3.0,5.0,17.0,39.0,131.0,313.0
total_failure,211,343.41706161137444,367.0,40.749105103318804,239.0,319.0,367.0,367.0,367.0,367.0
search_success,1584,20.241161616161616,5.0,43.15139454497271,1.0,3.0,15.0,37.0,129.0,311.0
search_failure,211,341.41706161137444,365.0,40.749105103318804,237.0,317.0,365.0,365.0,365.0,365.0
