scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,32,45.71875,35.0,33.87498558579029,14.0,14.0,70.0,97.7,104.29999999999998,112.0
probe_all,32,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,32,32.71875,22.0,33.87498558579029,1.0,1.0,57.0,84.7,91.29999999999998,99.0
total_success,26,35.53846153846154,14.0,27.97558106804351,14.0,14.0,62.25,72.0,89.75,98.0
total_failure,6,89.83333333333333,87.5,18.261221816248284,70.0,71.75,108.5,112.0,112.0,112.0
search_success,26,22.53846153846154,1.0,27.97558106804351,1.0,1.0,49.25,59.0,76.75,85.0
search_failure,6,76.83333333333333,74.5,18.261221816248284,57.0,58.75,95.5,99.0,99.0,99.0
