budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,15,46.875,15,46.875,100.0
40,17,53.125,17,53.125,100.0
50,18,56.25,18,56.25,100.0
60,19,59.375,19,59.375,100.0
75,26,81.25,24,75.0,92.3076923076923
100,30,93.75,26,81.25,86.66666666666667
150,32,100.0,26,81.25,81.25
200,32,100.0,26,81.25,81.25
