scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,55.6875,15.0,77.12588634012577,3.0,3.0,71.0,231.0,243.0,243.0
probe_all,256,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,256,53.6875,13.0,77.12588634012577,1.0,1.0,69.0,229.0,241.0,241.0
total_success,233,37.197424892703864,11.0,52.25206809283499,3.0,3.0,59.0,99.0,156.5999999999999,243.0
total_failure,23,243.0,243.0,0.0,243.0,243.0,243.0,243.0,243.0,243.0
search_success,233,35.197424892703864,9.0,52.25206809283499,1.0,1.0,57.0,97.0,154.5999999999999,241.0
search_failure,23,241.0,241.0,0.0,241.0,241.0,241.0,241.0,241.0,241.0
