scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,54.390625,25.0,69.2391952734098,3.0,15.0,59.0,189.0,243.0,243.0
probe_all,256,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,256,52.390625,23.0,69.2391952734098,1.0,13.0,57.0,187.0,241.0,241.0
total_success,234,36.65811965811966,23.0,39.822504137491826,3.0,11.0,47.0,71.0,120.39999999999998,243.0
total_failure,22,243.0,243.0,0.0,243.0,243.0,243.0,243.0,243.0,243.0
search_success,234,34.65811965811966,21.0,39.822504137491826,1.0,9.0,45.0,69.0,118.39999999999998,241.0
search_failure,22,241.0,241.0,0.0,241.0,241.0,241.0,241.0,241.0,241.0
