scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,25.375,11.0,23.566064054058753,3.0,3.0,51.0,51.0,59.0,91.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,23.375,9.0,23.566064054058753,1.0,1.0,49.0,49.0,57.0,89.0
total_success,45,12.777777777777779,11.0,14.546307494632273,3.0,3.0,11.0,31.80000000000001,44.599999999999966,75.0
total_failure,19,55.21052631578947,51.0,10.175196609342796,51.0,51.0,51.0,62.19999999999999,76.59999999999997,91.0
search_success,45,10.777777777777779,9.0,14.546307494632273,1.0,1.0,9.0,29.80000000000001,42.599999999999966,73.0
search_failure,19,53.21052631578947,49.0,10.175196609342796,49.0,49.0,49.0,60.19999999999999,74.59999999999997,89.0
