budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,14,43.75,14,43.75,100.0
40,16,50.0,16,50.0,100.0
50,18,56.25,18,56.25,100.0
60,18,56.25,18,56.25,100.0
75,24,75.0,23,71.875,95.83333333333333
100,27,84.375,24,75.0,88.88888888888889
150,32,100.0,25,78.125,78.125
200,32,100.0,25,78.125,78.125
