system_id,budget,finished_rate,success_rate,conditional_success_rate
14,25,87.71112405358183,87.71112405358183,100.0
14,40,94.99126383226557,94.99126383226557,100.0
14,50,96.6802562609202,96.6802562609202,100.0
14,60,99.00990099009901,97.43739079790332,98.41176470588235
14,75,99.88351776354106,98.07804309842749,98.19241982507289
14,100,100.0,98.07804309842749,98.07804309842749
14,150,100.0,98.07804309842749,98.07804309842749
14,200,100.0,98.07804309842749,98.07804309842749
118,25,55.15320334261838,55.15320334261838,100.0
118,40,62.50696378830084,62.50696378830084,100.0
118,50,64.79108635097494,64.79108635097494,100.0
118,60,69.4707520891365,69.4707520891365,100.0
118,75,75.26462395543176,75.26462395543176,100.0
118,100,80.27855153203343,80.27855153203343,100.0
118,150,85.29247910863509,85.29247910863509,100.0
118,200,88.18941504178272,88.18941504178272,100.0
