budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,0,0.0,0,0.0,0.0
40,0,0.0,0,0.0,0.0
50,0,0.0,0,0.0,0.0
60,0,0.0,0,0.0,0.0
75,3,18.75,3,18.75,100.0
100,4,25.0,4,25.0,100.0
150,9,56.25,9,56.25,100.0
200,11,68.75,11,68.75,100.0
