budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,969,53.98328690807799,969,53.98328690807799,100.0
40,1072,59.721448467966574,1072,59.721448467966574,100.0
50,1095,61.00278551532033,1095,61.00278551532033,100.0
60,1156,64.40111420612813,1156,64.40111420612813,100.0
75,1243,69.24791086350974,1243,69.24791086350974,100.0
100,1340,74.65181058495821,1340,74.65181058495821,100.0
150,1444,80.44568245125348,1444,80.44568245125348,100.0
200,1527,85.06963788300835,1527,85.06963788300835,100.0
