budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,11,68.75,11,68.75,100.0
40,11,68.75,11,68.75,100.0
50,11,68.75,11,68.75,100.0
60,11,68.75,11,68.75,100.0
75,12,75.0,12,75.0,100.0
100,14,87.5,14,87.5,100.0
150,16,100.0,16,100.0,100.0
200,16,100.0,16,100.0,100.0
