scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,16,32.25,3.0,43.467660392526305,3.0,3.0,69.0,99.0,114.0,123.0
probe_all,16,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,16,30.25,1.0,43.467660392526305,1.0,1.0,67.0,97.0,112.0,121.0
total_success,16,32.25,3.0,43.467660392526305,3.0,3.0,69.0,99.0,114.0,123.0
total_failure,0,,,,,,,,,
search_success,16,30.25,1.0,43.467660392526305,1.0,1.0,67.0,97.0,112.0,121.0
search_failure,0,,,,,,,,,
