budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,126,49.21875,126,49.21875,100.0
40,167,65.234375,167,65.234375,100.0
50,178,69.53125,178,69.53125,100.0
60,200,78.125,200,78.125,100.0
75,210,82.03125,210,82.03125,100.0
100,216,84.375,216,84.375,100.0
150,224,87.5,224,87.5,100.0
200,227,88.671875,227,88.671875,100.0
