budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,26,81.25,26,81.25,100.0
40,29,90.625,29,90.625,100.0
50,31,96.875,31,96.875,100.0
60,32,100.0,31,96.875,96.875
75,32,100.0,31,96.875,96.875
100,32,100.0,31,96.875,96.875
150,32,100.0,31,96.875,96.875
200,32,100.0,31,96.875,96.875
