budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,815,47.46651135701806,815,47.46651135701806,100.0
40,987,57.483983692486895,987,57.483983692486895,100.0
50,1097,63.8905066977286,1097,63.8905066977286,100.0
60,1309,76.23762376237623,1173,68.31683168316832,89.6103896103896
75,1717,100.0,1221,71.11240535818288,71.11240535818288
100,1717,100.0,1221,71.11240535818288,71.11240535818288
150,1717,100.0,1221,71.11240535818288,71.11240535818288
200,1717,100.0,1221,71.11240535818288,71.11240535818288
