scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,1717,37.098427489807804,29.0,24.041150483536587,14.0,14.0,59.0,74.0,74.0,74.0
probe_all,1717,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,1717,24.098427489807804,16.0,24.041150483536587,1.0,1.0,46.0,61.0,61.0,61.0
total_success,1221,24.683865683865683,14.0,15.84951685072091,14.0,14.0,34.0,51.0,59.0,74.0
total_failure,496,67.65927419354838,74.0,8.30776664152159,54.0,59.0,74.0,74.0,74.0,74.0
search_success,1221,11.683865683865683,1.0,15.84951685072091,1.0,1.0,21.0,38.0,46.0,61.0
search_failure,496,54.659274193548384,61.0,8.30776664152159,41.0,46.0,61.0,61.0,61.0,61.0
