scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,16,153.1875,123.0,84.61029691325992,66.0,81.0,248.25,282.0,282.0,282.0
probe_all,16,65.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,65.0
search_all,16,88.1875,58.0,84.61029691325992,1.0,16.0,183.25,217.0,217.0,217.0
total_success,12,110.25,90.0,46.59063747149206,66.0,81.0,131.25,146.1,187.49999999999994,237.0
total_failure,4,282.0,282.0,0.0,282.0,282.0,282.0,282.0,282.0,282.0
search_success,12,45.25,25.0,46.59063747149206,1.0,16.0,66.25,81.10000000000001,122.49999999999994,172.0
search_failure,4,217.0,217.0,0.0,217.0,217.0,217.0,217.0,217.0,217.0
