budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,53,20.703125,53,20.703125,100.0
40,84,32.8125,84,32.8125,100.0
50,84,32.8125,84,32.8125,100.0
60,90,35.15625,90,35.15625,100.0
75,103,40.234375,103,40.234375,100.0
100,121,47.265625,121,47.265625,100.0
150,132,51.5625,132,51.5625,100.0
200,139,54.296875,139,54.296875,100.0
