scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,256,137.625,141.0,102.18663990463725,3.0,27.0,243.0,243.0,243.0,243.0
probe_all,256,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,256,135.625,139.0,102.18663990463725,1.0,25.0,241.0,241.0,241.0,241.0
total_success,147,59.48979591836735,27.0,62.018470734155066,3.0,15.0,87.0,151.80000000000007,203.39999999999986,231.0
total_failure,109,243.0,243.0,0.0,243.0,243.0,243.0,243.0,243.0,243.0
search_success,147,57.48979591836735,25.0,62.018470734155066,1.0,13.0,85.0,149.80000000000007,201.39999999999986,229.0
search_failure,109,241.0,241.0,0.0,241.0,241.0,241.0,241.0,241.0,241.0
