budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,520,30.285381479324403,520,30.285381479324403,100.0
40,625,36.400698893418756,625,36.400698893418756,100.0
50,677,39.42923704135119,677,39.42923704135119,100.0
60,1328,77.34420500873617,728,42.39953407105416,54.81927710843374
75,1516,88.29353523587653,744,43.33139196272568,49.07651715039578
100,1717,100.0,759,44.205008736167734,44.205008736167734
150,1717,100.0,759,44.205008736167734,44.205008736167734
200,1717,100.0,759,44.205008736167734,44.205008736167734
