scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,1717,43.86196854979615,51.0,28.375757723983217,3.0,11.0,59.0,83.0,99.0,99.0
probe_all,1717,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,1717,41.86196854979615,49.0,28.375757723983217,1.0,9.0,57.0,81.0,97.0,97.0
total_success,759,19.231884057971016,11.0,20.18906643945436,3.0,3.0,31.0,51.0,59.0,99.0
total_failure,958,63.37578288100209,51.0,16.08616926139021,51.0,51.0,75.0,91.0,99.0,99.0
search_success,759,17.231884057971016,9.0,20.18906643945436,1.0,1.0,29.0,49.0,57.0,97.0
search_failure,958,61.37578288100209,49.0,16.08616926139021,49.0,49.0,73.0,89.0,97.0,97.0
