scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,128,33.8515625,29.0,21.591769932281924,14.0,14.0,54.0,69.0,74.0,74.0
probe_all,128,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0
search_all,128,20.8515625,16.0,21.591769932281924,1.0,1.0,41.0,56.0,61.0,61.0
total_success,105,27.00952380952381,14.0,17.07713327012538,14.0,14.0,39.0,56.0,58.39999999999999,71.0
total_failure,23,65.08695652173913,69.0,8.591770802334567,54.0,54.0,74.0,74.0,74.0,74.0
search_success,105,14.00952380952381,1.0,17.07713327012538,1.0,1.0,26.0,43.0,45.39999999999999,58.0
search_failure,23,52.08695652173913,56.0,8.591770802334567,41.0,41.0,61.0,61.0,61.0,61.0
