budget,finished_count,finished_rate,success_count,success_rate,conditional_success_rate
25,30,46.875,30,46.875,100.0
40,37,57.8125,37,57.8125,100.0
50,37,57.8125,37,57.8125,100.0
60,52,81.25,37,57.8125,71.15384615384616
75,59,92.1875,38,59.375,64.40677966101696
100,64,100.0,39,60.9375,60.9375
150,64,100.0,39,60.9375,60.9375
200,64,100.0,39,60.9375,60.9375
