scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,1795,55.53259052924791,15.0,77.31777514193769,3.0,3.0,75.0,227.0,243.0,243.0
probe_all,1795,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,1795,53.53259052924791,13.0,77.31777514193769,1.0,1.0,73.0,225.0,241.0,241.0
total_success,1625,35.93538461538461,11.0,50.477316857770035,3.0,3.0,51.0,99.0,159.0,239.0
total_failure,170,242.85882352941175,243.0,1.8352941176470576,219.0,243.0,243.0,243.0,243.0,243.0
search_success,1625,33.93538461538461,9.0,50.477316857770035,1.0,1.0,49.0,97.0,157.0,237.0
search_failure,170,240.85882352941175,241.0,1.8352941176470576,217.0,241.0,241.0,241.0,241.0,241.0
