scope,count,mean,median,std,min,q25,q75,p90,p95,max
total_all,64,276.3125,243.0,189.61547232161726,3.0,74.0,483.0,483.0,483.0,483.0
probe_all,64,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
search_all,64,274.3125,241.0,189.61547232161726,1.0,72.0,481.0,481.0,481.0,481.0
total_success,20,37.6,23.0,39.17703408886385,3.0,11.0,41.0,88.20000000000007,135.0,135.0
total_failure,44,384.8181818181818,483.0,117.99985992427602,243.0,243.0,483.0,483.0,483.0,483.0
search_success,20,35.6,21.0,39.17703408886385,1.0,9.0,39.0,86.20000000000007,133.0,133.0
search_failure,44,382.8181818181818,481.0,117.99985992427602,241.0,241.0,481.0,481.0,481.0,481.0
